district,total,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
West Oxfordshire,85312,15054,11324,13461,3352,10513,28076,3532,2220,1820,888,92,831
Elmbridge,103005,13628,10451,14320,2280,11400,45170,5756,3061,2993,1190,173,1615
Epsom and Ewell,60371,9559,7395,9504,1723,7278,21720,3192,1868,2759,1177,205,1361
Guildford,112589,15993,12020,15254,3125,16005,44496,5696,2735,10727,3433,680,6601
Mole Valley,69580,11111,8129,11198,1960,7896,26396,2890,2083,1635,722,82,814
Reigate and Banstead,110725,18363,14587,18345,3237,13294,37602,5297,3047,2829,1294,195,1320
Runnymede,66653,12176,8490,9616,2248,10095,19945,4083,1503,6771,1926,414,4424
Spelthorne,78089,15947,12546,12564,3056,8882,20262,4832,1969,1931,931,136,851
Surrey Heath,69302,10387,9356,11292,2398,8478,23887,3504,2055,1818,934,125,753
Tandridge,66922,11467,8936,11701,1959,8206,22063,2590,2064,1752,636,90,1017
Waverley,97478,14790,10056,14737,2845,11938,39125,3987,3282,3434,1331,227,1858
Woking,79185,12042,9471,11321,2067,8940,30374,4970,2029,2594,1224,221,1132
Adur,50579,12936,8063,8324,2207,5655,11122,2272,1314,1185,569,73,531
Arun,126164,31364,17871,21159,5019,14610,28732,7409,2755,3296,1533,273,1464
